Название товара;Цена;Ссылка;Категория
Кресло Бринт Soft Terra;;https://www.divan.ru/product/kreslo-brint-soft-terra;divany-i-kresla
Диван модульный Риббл-1 Bucle Mint;;https://www.divan.ru/product/modulnyj-divan-ribbl-1-bucle-mint;divany-i-kresla
Кресло Пайпел-2 Bucle Forest;;https://www.divan.ru/product/kreslo-pajpel-2-bucle-forest;divany-i-kresla
Диван прямой Виена Velvet Smoke;;https://www.divan.ru/product/divan-viena-time-grey;divany-i-kresla
Диван прямой Види Textile Navy Blue;;https://www.divan.ru/product/divan-vidi-textile-navy-blue;divany-i-kresla
Диван угловой Аллаум Linia Stone;;https://www.divan.ru/product/divan-uglovoj-allaum-linia-stone;divany-i-kresla
Кресло Ансил Bucle Milk;;https://www.divan.ru/product/kreslo-ansil-bucle-milk;divany-i-kresla
Диван угловой Аронт Мини Velvet Olive;;https://www.divan.ru/product/divan-uglovoj-aront-mini-velvet-olive;divany-i-kresla
Диван модульный Brera-8 Bucle Beige;;https://www.divan.ru/product/modulnyj-divan-brera-8-bucle-beige;divany-i-kresla
Диван угловой Клаймар Velvet Stone;;https://www.divan.ru/product/divan-uglovoj-klajmar-velvet-stone;divany-i-kresla
Диван прямой Сваут Velvet Mustard;;https://www.divan.ru/product/divan-svaut-velvet-mustard;divany-i-kresla
Диван прямой Инес Vertical Blue;;https://www.divan.ru/product/divan-ines-vertical-blue;divany-i-kresla
Диван прямой Лави Velvet Moss;;https://www.divan.ru/product/divan-lavi-velvet-moss;divany-i-kresla
Диван угловой Эдвин Velvet Terra;;https://www.divan.ru/product/divan-uglovoj-edvin-velvet-terra;divany-i-kresla
Диван угловой Дарол Velvet Silver;;https://www.divan.ru/product/divan-uglovoj-darol-velvet-silver;divany-i-kresla
Диван прямой Терм Velvet Beige;;https://www.divan.ru/product/divan-term-velvet-beige;divany-i-kresla
Диван прямой Лилле Velvet Atlantic;;https://www.divan.ru/product/divan-lille-velvet-atlantic;divany-i-kresla
Кресло Кото Cozy Beige;;https://www.divan.ru/product/kreslo-koto-cozy-beige;divany-i-kresla
Диван прямой Бонент Velvet Eclipse;;https://www.divan.ru/product/divan-bonent-velvet-eclipse;divany-i-kresla
Диван прямой Нумо-Мини 120 Textile Light;;https://www.divan.ru/product/divan-numo-mini-textile-light;divany-i-kresla
Пуф Кофи Velvet Light;;https://www.divan.ru/product/puf-kofi-velvet-light;divany-i-kresla
Диван угловой Нордика мини Velvet Coral;;https://www.divan.ru/product/divan-uglovoj-nordika-mini-velvet-coral;divany-i-kresla
Диван угловой Стаус Velvet Olive;;https://www.divan.ru/product/divan-uglovoj-staus-velvet-olive;divany-i-kresla
Кресло Винси Textile Ginger;;https://www.divan.ru/product/kreslo-vinsi-textile-ginger;divany-i-kresla
Без названия;Не указана;https://www.divan.ru/product/divan-bons-t-velvet-emerald;divany-i-kresla
Без названия;Не указана;https://www.divan.ru/product/divan-vinsi-soft-light;divany-i-kresla
Без названия;Не указана;https://www.divan.ru/product/divan-lilt-bucle-white;divany-i-kresla
